"x.ScreenName","x.Name","x.Description","FullDescription"
"PADI","PADI","PADI is The Way the World Learns to Dive - How has scuba diving transformed YOUR life? Tweet us your diving stories and pictures! #MyPADI","PADI PADI PADI is The Way the World Learns to Dive - How has scuba diving transformed YOUR life? Tweet us your diving stories and pictures! #MyPADI"
"PADI_Travel","PADI Travel","PADI Travel is the ultimate online travel agency for divers.","PADI_Travel PADI Travel PADI Travel is the ultimate online travel agency for divers."
"sportdiver","Sport Diver Magazine","The leading magazine for scuba diving enthusiasts, and an official publication of Bonnier Corporation.","sportdiver Sport Diver Magazine The leading magazine for scuba diving enthusiasts, and an official publication of Bonnier Corporation."
"PADITecRec","PADI TecRec","For news about technical diving and the PADI TecRec range in particular.","PADITecRec PADI TecRec For news about technical diving and the PADI TecRec range in particular."
"scubacom","Scuba.com","Your Source For All Your Diving Needs...","scubacom Scuba.com Your Source For All Your Diving Needs..."
"SylviaEarle","Sylvia A. Earle","Oceanographer, National Geographic Explorer-In-Residence, Founder of @MissionBlue and 2009 TED Prize Winner. Saving and restoring the blue heart of the planet!","SylviaEarle Sylvia A. Earle Oceanographer, National Geographic Explorer-In-Residence, Founder of @MissionBlue and 2009 TED Prize Winner. Saving and restoring the blue heart of the planet!"
"projectaware","Project AWARE","a global movement for ocean protection powered by a community of adventurers. We connect the passion for ocean adventure with the purpose of marine conservation","projectaware Project AWARE a global movement for ocean protection powered by a community of adventurers. We connect the passion for ocean adventure with the purpose of marine conservation"
"DANGlobalSafety","Divers Alert Network","Divers Alert Network (DAN) is a nonprofit medical and research organization dedicated to the safety and health of scuba divers.","DANGlobalSafety Divers Alert Network Divers Alert Network (DAN) is a nonprofit medical and research organization dedicated to the safety and health of scuba divers."
"AquaLungDivers","Aqua Lung","The official profile of Aqua Lung: First to Dive","AquaLungDivers Aqua Lung The official profile of Aqua Lung: First to Dive"
"Matt_Bolton","Matt Bolton","Multi-Award Winning Platinum #PADI Course Director. Over 20 Years Dedicated to Instructor Development and at the Centre of The Thailand Scuba Diving Industry.","Matt_Bolton Matt Bolton Multi-Award Winning Platinum #PADI Course Director. Over 20 Years Dedicated to Instructor Development and at the Centre of The Thailand Scuba Diving Industry."
"crystaldive","Crystal Dive Koh Tao","Crystal Dive is a leading Asia Pacific #PADI Dive Centre. Full range of PADI Diving Courses, Pro level, Freediving & Tech Diving • Scuba Diving Internships 👌🇹🇭","crystaldive Crystal Dive Koh Tao Crystal Dive is a leading Asia Pacific #PADI Dive Centre. Full range of PADI Diving Courses, Pro level, Freediving & Tech Diving • Scuba Diving Internships 👌🇹🇭"
"DAN_Europe","DAN Europe","Official Twitter of DAN Europe (Divers Alert Network Europe), your diving safety association.","DAN_Europe DAN Europe Official Twitter of DAN Europe (Divers Alert Network Europe), your diving safety association."
"scubadiverlife","Scuba Diver Life","Photos, videos and daily articles about scuba diving, marine life, ocean conservation and much more.","scubadiverlife Scuba Diver Life Photos, videos and daily articles about scuba diving, marine life, ocean conservation and much more."
"divein_news","DIVE.in","We write about Scuba Diving all day long. Whatever moves under water, we got it covered with tons of free guides, articles and reviews.","divein_news DIVE.in We write about Scuba Diving all day long. Whatever moves under water, we got it covered with tons of free guides, articles and reviews."
"BestCenoteDives","Best Cenote Dives","🇲🇽🌞Come Scuba Diving in the Cenotes of Tulum.🌞🇲🇽 #BestCenoteDives #Cenote #Scuba #Diving #PADI #Tulum cenotediving@mail.com","BestCenoteDives Best Cenote Dives 🇲🇽🌞Come Scuba Diving in the Cenotes of Tulum.🌞🇲🇽 #BestCenoteDives #Cenote #Scuba #Diving #PADI #Tulum cenotediving@mail.com"
"TheScubaNews","The Scuba News","For Those Who Love Scuba Diving And Everything Related To Scuba Diving. Got some #scuba #news to share? Contact us at http://t.co/POCwPobd3i","TheScubaNews The Scuba News For Those Who Love Scuba Diving And Everything Related To Scuba Diving. Got some #scuba #news to share? Contact us at http://t.co/POCwPobd3i"
"Mares_Tweet","MARES Just Add Water","","Mares_Tweet MARES Just Add Water "
"PSMLGC","Grand Cozumel Diving","Scuba Diving, rooms for rent, golf, yoga and squash. Everything is possible with us !!","PSMLGC Grand Cozumel Diving Scuba Diving, rooms for rent, golf, yoga and squash. Everything is possible with us !!"
"GonnaDive","GonnaDive.com","Where are you gonna dive?","GonnaDive GonnaDive.com Where are you gonna dive?"
"DEMAorg","DEMA.org","DEMA exists to promote sustainable growth in safe recreational diving and snorkeling while protecting the underwater environment.","DEMAorg DEMA.org DEMA exists to promote sustainable growth in safe recreational diving and snorkeling while protecting the underwater environment."
"CrystalImagesKT","Crystal Images","Formed using a collaboration of creatives from various diving and videography. Crystal Images have made it their mission to provide the best training.","CrystalImagesKT Crystal Images Formed using a collaboration of creatives from various diving and videography. Crystal Images have made it their mission to provide the best training."
"mariocyr_prod","Mario Cyr","Cinéaste des profondeurs océaniques de réputation internationale.","mariocyr_prod Mario Cyr Cinéaste des profondeurs océaniques de réputation internationale."
"ThunderBayDiver","Great Lakes Divers","Great Lakes Divers is a full-service dive shop in Alpena, Michigan. Sales, repair, air, nitrox, trimix, rentals, salvage, and dive and snorkel charters.","ThunderBayDiver Great Lakes Divers Great Lakes Divers is a full-service dive shop in Alpena, Michigan. Sales, repair, air, nitrox, trimix, rentals, salvage, and dive and snorkel charters."
"TheScubaNewsCA","Scuba News Canada","Official Twitter feed for @TheScubaNews Canada Team. Bringing you everything from the world of scuba diving in #Canada","TheScubaNewsCA Scuba News Canada Official Twitter feed for @TheScubaNews Canada Team. Bringing you everything from the world of scuba diving in #Canada"
"scubadivergear","ScubaGearReviewer","https://t.co/ltl0IKCAfI brings you all that is #scuba for all the novice and expert #divers #scubadiving #divegear","scubadivergear ScubaGearReviewer https://t.co/ltl0IKCAfI brings you all that is #scuba for all the novice and expert #divers #scubadiving #divegear"
"Caro_3004","Caroline","","Caro_3004 Caroline "
